,shortcode,date,hashtags,caption,locationid,lat,lng,age,ethnicity,gender,duration,movement,weight,comments,reps
108,BkbufzAF9g3,2018-06-25 03-53-59,fitness;fit;fitnessmotivation;fitnesslifestyle;hardwork;back;instafitfam;instagram;instafitness;thefitnessnet;fitnessphysique;fitnesslover;gymislife;fitstagram;instamuscle;chestday;pecs;staystrong;staypositive;nevergiveup;pushharder;innerbeastclothing,Chest day This exercise you can do instead of dumbell flys Again focus on the pecs as I am doing here dont forget to breathe✌️,1017380593,22.3304806,73.2350082,0,UNK,UNK,33.66,UNK,-1,UNK,
109,BzAaWCHF1zI,2019-06-22 09-07-50,fitness;workout;gymflow;gymmemes;Bodybuilding;sexybut;sexybreast,,UNK,UNK,UNK,0,UNK,UNK,31.33,UNK,-1,UNK,
110,BpiIx3tn81h,2018-10-29 22-19-26,personaltraining;befitbycosta;nevergiveup;tricepsworkout;nopainogain;fitness;fitnesstransformation;fitnessjourney,Be stronger than your excuses 💪💪💪,227561342,52.5833,-0.25,0,UNK,UNK,56.57,UNK,-1,UNK,
111,BhogV3cHAS1,2018-04-16 13-24-53,fitness;fitnessjourney;weightloss;healthylifestyle;behealthy;tabataworkout;burpees;weightloss;deadlifts;womenpower;personaltrainer;befitbycosta,Deadlifts With 110 kg Really impressive work and determination Well done super Magda you just proved that if you can dream it you can do it If you want to be in the best shape of your life Contact me for Personal Training at 07785611446 Now offering ONLINE PERSONAL TRAINING Weekly support 247 support Nutritional advice Location independent Great value for the money,227561342,52.5833,-0.25,0,UNK,UNK,8.0,UNK,-1,UNK,
112,Bzol9kMn6Zr,2019-07-07 23-38-50,Fitness;fitfam;fitspo;motivation;workout;workoutvideo;legday;gym;abs,repost via from BURN FAT BUILD MUSCLES Click link in our Bio for Resistance Bands 💚 Scroll down to try this killer workout 😍💥 Here’s a fun workout you can do that is challenging your pulse and strength at the same time 😘 1️⃣ Use a box if you don’t have any stairs Notice how I pump in the bottom each jump to get extra tension in the glutes puh 🥵💦 To failure x 5 rounds 2️⃣ Do this as fast as you can and squeeze your glutes in the top 12 reps or more x 5 sets 3️⃣ Now to the heavy cardio with focus on the glutes Start with incline 15 ad speed 35 Take loong steps and squeeze the glutes each step Walk 2 minutes then continue with next movement on video 4 no pause between 😘👇🏼 4️⃣ Run fast 2 minutes and finish the set with 15 air squats Repeat this x 4 times 😬💦 5️⃣ Back to the strength again Use the barbell as a direction for how low you should go and lay your calves against it to get support when you squeeze in the top To failure x 5 sets 😘 6️⃣ This one is good for the glutes core and upper body One of my favorite movements 😍 To failure x 5 sets 7️⃣ End the workout with some focus on the abs and upper body Keep a straight line from head to toe and pull in you legs 15 reps x 4 sets DONE Tag friend and do it together 😘❤️ Credit,UNK,UNK,UNK,0,UNK,UNK,17.133,UNK,-1,UNK,
113,BsoP74Ah9E5,2019-01-14 20-48-07,max;1rm;liftheavy;rackdead;rackpull;stronglooksstrong;bodypositive;elitesuppsaustralia;jo;JC;ehf;pt;compoundlift;areyouapartoftheelitefleet,When ya need to just take it to the platform Rack Pull 1RM PB 150kg,UNK,UNK,UNK,0,UNK,UNK,33.87,UNK,-1,UNK,
114,BzvXHyNHg2R,2019-07-10 14-45-17,musculação;gym;workout;academia;hipertrofia;personaltrainervip1;phelipepersonal;treinodeforca;hypertrophy;bodybuilder;funcionaltraining;treinamentopersonalizado;desistirnãoéopção,SÉRIE ⬆️ TEMPO SOB TENSÃO ⬆️ ESTRESSE METABÓLICO ⬆️ N° DE REPETIÇÕES ➡️ REPETIÇÕES PARCIAIS ➡️ REPETIÇÕES COMPLETAS ✔️ DOMINÂNCIA DE QUADRIL ✔️ DOMINÂNCIA DE JOELHOS ➕ RML ABDOMINAL ❌ FALHA Com,225918895,-8.266138904,-35.9695885835,0,UNK,UNK,48.722,UNK,-1,UNK,
115,BPr8NtDjrMT,2017-01-25 12-00-40,lowcarbs;highprotein;strong;cutting;gym;gymselfie;lifting;weights;heavylifting;hiit;hiitworkout;healthy;weightloss;weightlossjourney;weightlifting;lowcarb;bodybuilding;sixpackabs;musclebuilding;abs;fullbodyworkout;gymrat;newbalance;tattoos;tatts;eatclean;eatcleantraindirty;cleaneating;intermittentfasting;fasting,Managed to get 180kg up today not bad as Im only 74kg Didnt manage the 200kg lift but got it of the floor but couldnt get it past my knees Feeling strong 💪🏻,UNK,UNK,UNK,0,UNK,UNK,32.928000000000004,UNK,-1,UNK,
116,Bn0TTmAFM8-,2018-09-17 06-36-05,fitness;fit;fitnessmotivation;fitnesslifestyle;hardwork;back;instafitfam;instagram;instafitness;thefitnessnet;fitnessphysique;fitnesslover;gymislife;fitstagram;instamuscle;delts;reardelts;shoulderday;shoulderworkout;nevergiveup;physiqueapparel;focus;mindmuscleconnection,Now this is a great variation for your delts Mainly It will target your medial delts Now here the main mistake so many people tend to do is that they begin the movement from the front side of the body ie With both the dumbells kept togather That is not the right way instead keep the dumbells aside of your body And most importantly dont lift the front part of the dumbell like we do the flys But solely focus on lifting the backward part of the dumbell iekeep the dumbells straight And also dont forget to breathe ✌️,UNK,UNK,UNK,0,UNK,UNK,28.6,UNK,-1,UNK,
117,BvCFUF5gJAx,2019-03-15 14-53-15,bootcamp;glasgow;personaltraining;personaltrainer;training;fatloss;musclebuilding;fitness;fitnessmotivation;fitnesslife;fitnessjourney;fitfam;fitlife;fitspiration;weights;weighttraining;trapbar;trapbardeadlifts;strength;strong;pbtrain;liftingweights;l;gym;gymlife;learntolift;learntoliftbootcamp;learntolifttraining,Next up on the PB train 💪🚂 we have ⭐ 210 kg 🔹Chris has put 30 kg on his Trap Bar Deadlift 1 rep max in the past 4 months amazing progress ⭐ jakemilkshake 165 kg 🔹Up a full 10 kg on his previous best ⭐ monster87 210 kg 🔹Sarah hit the huge milestone of 3 times bodyweight an extremely impressive achievement ⭐ mclellandesign 220 kg 🔹Only the 4th time John has touched a Trap Bar and the weights are flying up Very tasty lifting big well done team 🔥🙌,552725738270459,55.8551675501,-4.2746841999,0,UNK,UNK,15.23,UNK,-1,UNK,
118,BzLtDGcHt04,2019-06-26 18-23-13,personaltrainer;nevergiveup;holiday;fit;fitfam;strongwomen;fitnessjourney;nopainnogain;fitness;fitnessmotivation,You can have a holiday and eat icecream because it’s milk and that’s protein But u need to remember that you still need to do the squats and the burpees😂💪👍,UNK,UNK,UNK,0,UNK,UNK,22.7,UNK,-1,UNK,
119,BoHaWtcAdFt,2018-09-24 16-39-27,personaltraining;befitbycosta;chestday;nevergiveup;20kgdumbbells;stronglady;womanthatlift;fitness;fitnessmotivation,20 kg dumbbells 💪 well done Shirley 💪💪💪,227561342,52.5833,-0.25,0,UNK,UNK,27.11,UNK,-1,UNK,
120,Bw8rbIWgroU,2019-05-02 05-21-15,melbournegym;bodybuilding;shoulderworkout;melbournefitness;melbournefit;melbournefitfam;melbourneworkout;shoulders;arnoldpress;arnoldschwarzenegger;shoulderpress;gym;fitness;gains;workout,Shoulders feeling good doing Arnold’s today👌 5 reps 25kg,1016517089,-37.9576111,145.0383301,0,UNK,UNK,23.799,UNK,-1,UNK,
121,2Oativo5M4,2015-05-03 15-45-05,cover;ifihadagun;noelgallagher;noelgallaghershighflyingbirds;acoustic;acousticcover;tattoo;snapback;sing;guitar;15secondcover;music;sing;tattoos;acousticguitar;old;oasis;snapback;indie;rock;indierock;rockandroll,,UNK,UNK,UNK,0,UNK,UNK,0.0,UNK,-1,UNK,
122,Bk2i7udhjux,2018-07-05 13-53-37,bootcamp;glasgow;personaltraining;personaltrainer;training;fatloss;weightloss;musclebuilding;fitness;fitnessmotivation;fitnesslife;fitnessjourney;fitfam;fitlife;fitspiration;weights;weighttraining;squats;splitsquats;strength;strong;strongisnotasize;girlswholift;strongnotskinny;gym;gymlife;learntolift;learntoliftbootcamp;learntolifttraining,It was the evening groups turn for Split Squats after the Friday morning crew battling through them last week 😬 As if their legs werent tired enough from the Paused Squats the Split Squats finished them off nicely 🏁💪,1441672392612341,55.8551881117,-4.2748044128,0,UNK,UNK,30.07,UNK,-1,UNK,
123,BkoHwLxgtnG,2018-06-29 23-25-40,deadlift;liftheavy;gym;bodybuilding;stronglooksstrong;bodybuilding,Just deadlift heavy and that will do it 120kgs warm ups,UNK,UNK,UNK,0,UNK,UNK,47.78,UNK,-1,UNK,
124,Bkxa5yAl5Mi,2018-07-03 14-09-50,fitness;fit;fitnessmotivation;fitnesslifestyle;hardwork;back;instafitfam;instagram;instafitness;thefitnessnet;fitnessphysique;fitnesslover;gymislife;fitstagram;instamuscle;delts;reardelts;shoulderday;shoulderworkout;nevergiveup;innerbeastclothing,Reverse peck deck machine is the best exercise for the development of rear delts Keep your back straight keep the weight such that your form doesnt get ruined✌️ And guys sorry for the quality of the video,UNK,UNK,UNK,0,UNK,UNK,27.15,UNK,-1,UNK,
125,ByII6WLACyL,2019-05-31 12-38-13,bootcamp;glasgow;personaltraining;personaltrainer;training;fitness;fitnessmotivation;fitnesslife;fitnessjourney;fitfam;fitlife;fitspiration;weights;weighttraining;deadlift;strength;strong;strongisnotasize;girlswholift;powerlifting;powerliftingmotivation;gym;gymlife;learntolift;learntoliftbootcamp;learntolifttraining,What about this for a bit of progress 📈 Last night pulled a 145 kg Deadlift for a massive 175 kg PB 💪🔥 Very strong Stacy big well done 🙌,552725738270459,55.8551675501,-4.2746841999,0,UNK,UNK,4.35,UNK,-1,UNK,
126,BnGVNeOgTxA,2018-08-30 10-02-59,motivation;fitnessmotivation;fitspiration;fitspo;transformation;transformationinprogress;progressnotperfection;decidecommitsucceed;fitness;fitnesslife;fitnesslifestyle;fitnessblogger;fitnesscoach;fitnessfam;weights;weightlifting;weightliftingjourney;lifting;liftingheavy;trainhard;instalift;justlift;gainz;squat;squats;bodymotivation,Today was all about form and mobility for me I may be a PT but I do have my downfalls,1020453330,53.816146771,-1.604297609,0,UNK,UNK,22.14,UNK,-1,UNK,
127,BpLYuysgweY,2018-10-21 02-18-12,killjoy;bodybuilding;complife;sport;quads;legs;legday,Backstage flex offs with quadzilla lyons not sure I’m as proportional to her however haha Not comparing just having fun so do not give me any dumb comments about comparisons blah blah killjoy Currently backstage smashing the lollies rice cakes and about to pump up for gabs National show 💪🏾✌🏽bodybuilding,UNK,UNK,UNK,0,UNK,UNK,5.7,UNK,-1,UNK,
128,BmSRchVg95m,2018-08-10 04-57-53,yogaslacker;yogi;yoga;slackline;newthings;coolAF;yogaslacking;acroyoga,TRY NEW THINGS Say YES Even when you think you won’t be able to do something Big girl brain came straight back into play when I looked at this and I immediately went into panic mode WHAT IF IT DOESNT HOLD ME well guess what I’m not 135kgs anymore and it does hold me Yoga Slacking is all about balance funny enough something I am trying to find in life and not necessarily in a physical sense as this is here What you learn on the mat transfers to the slack line if you pick it up easy then your mat yoga is at a good stage I was able to walk the rope balance on either foot with no assistance for a short period of time and also be able to hold pigeon pose for a short period unassisted This was pretty good for my first go My goal for the future is to hold a tree pose unassisted yogaslacker yogi yoga slackline newthings coolAF yogaslacking acroyoga dorward,UNK,UNK,UNK,0,UNK,UNK,39.63,UNK,-1,UNK,
129,BzTIUB-FJKH,2019-06-29 15-39-54,babyonboard,For 75 år siden blev jeg mor Ikke på den måde jeg havde drømt om Ikke med en forventning om at jeg skulle lægge Villum i graven 3 uger efter Et tomrum jeg har gemt væk og ignoreret Men nu Nu skal Villum endelig være storebror og jeg skal være mor igen❤️😭 Nogle gange er de mest uplanlagte ting de allermest rigtige ting der kunne ske i ens liv❤️ Lille bebs Du ved slet ikke hvor glad du allerede gør mig Også træt åh Gud hvor uendelig træt jeg er Men allermest glad ❤️ Velkommen til min nye hverdag,UNK,UNK,UNK,0,UNK,UNK,4.8,UNK,-1,UNK,
130,Bn5SDE5npMk,2018-09-19 04-56-40,sunshinecoast;sunnycoast;bodybuilding;strong;powerlifting;shredding;bulking;deadlift;bench;squat;legday;backday;chestday;abs;shredded;quads;ifbb;chest;workout;fitspo;fitness;motivation;shred;benchpress;fitfam;followforfollow,The stretch and burn from toe elevated stiff legged dead’s is sickening 🤮 and 220kg doesn’t help either,335125698,-26.72795,153.119,0,UNK,UNK,23.33,UNK,-1,UNK,
131,BzGmNB3APG4,2019-06-24 18-49-37,bodybuilder;bodybuilding;fitness;gym;muscle;workout;fit;fitnessmotivation;motivation;gymlife;fitfam;shredded;fitnessmodel;abs;body;gymmotivation;training;gains;instafit;physique;bodybuildingmotivation;fitspo;fitnessaddict;lifestyle;strong;health;personaltrainer;nopainnogain;muscles;bhfyp,MONDAY Diet started off well and training was strong but I know it was down to yesterday carb over load Today breakfast was a shake and vitamin intake monster in the office Chicken 🐓 and salad m2 chicken 🐓 salad 🥗 m3 post workout shake m4 was salad 🥗 and pork m5 will be Greek yoghurt and cashews m6 will be a shake With shakes and pre workout I’ve taken in around 6 litres of water today 💦 Feeling so fookin determined this time 🦍 Champions aren’t made in the gyms Champions are made from something they have deep inside them—a desire a dream a vision To achieve absolutely anything in life you have to have a dream you have to see it before you get it know where you are heading and why you are doing it,221309383,52.4083333333,0.5566666667,0,UNK,UNK,60.0,UNK,-1,UNK,
132,BzoYy_Whv-I,2019-07-07 21-55-53,mondaymotivation;pt;selfcare;positivity;priority;health;cleaneating,Monday motivation Not for you For me Truth is most of the IG influences that we follow only show you how great they are and how great they look I look at my video and miss that feeling miss that dedication and pride for myself Do the IG influences ever talk about how they struggle just as much as the next person Some dobut majority NO Truth for me is I have been struggling a lot with my own fitness health and not having a viable business I find that giving my time to everyone else and not making myself a priority one big contributing factor So for me I need to make working on myself and growing my business in other areas that I am involved in a priority I need to be fitter and healthier to help you be fitter and healthier,UNK,UNK,UNK,0,UNK,UNK,10.0,UNK,-1,UNK,
133,BnlVB2UgpCU,2018-09-11 10-58-30,peterborough;hiitworkout;healthylifestyle;fitnessjourney;boxercise;boxing;strongwomen;nopainnogain,Great boxercise class with amazing people 💪👍🥊,227561342,52.5833,-0.25,0,UNK,UNK,18.09,UNK,-1,UNK,
134,BhtsP1ChYbx,2018-04-18 13-45-12,fitness;fitnessjourney;weightloss;healthylifestyle;behealthy;tabataworkout;burpees;weightloss;deadlifts;womenpower;personaltrainer;befitbycosta,Only hard work and determination can make your dreams come true💪💪💪💪If you want to be in the best shape of your life Contact me for Personal Training at 07785611446 Now offering ONLINE PERSONAL TRAINING Weekly support 247 support Nutritional advice Location independent Great value for the money,227561342,52.5833,-0.25,0,UNK,UNK,53.0,UNK,-1,UNK,
135,Bzonfnxnq6S,2019-07-07 23-52-11,fitness;fitfam;fitspo;motivation;workout;workoutvideo;legday;gym;gymwear;leggings;abs;diet;prep;bodybuilding;aesthetics;gains;gainz;nutrition;healthy;physique;girlswholift;tutorial,repost via from Swipe for today’s 60 min leg workout 🎥🤩 Click link in our Bio for Resistance Bands 💚 Don’t forget to warm up before Video 1 I continue with the weight under my feet I just love it hehe 🙄 5 sets to failure Video 2 12 reps each leg x 5 sets Try to go as high as you can with your knee Video 3 Box squats 15 reps x 5 sets Don’t forget the squeeze in the top of movement ☝🏼 Video 45 Hip thrust super set drop set with the abductor machine 👉🏼 Start with the hip thrust heavy and drop the weight to failure Then go for the abductor machine and do to failure again 💥🍑 X 6 sets Credit,UNK,UNK,UNK,0,UNK,UNK,11.999,UNK,-1,UNK,
136,Bod3DtxBNLP,2018-10-03 09-57-48,bootcamp;glasgow;personaltraining;personaltrainer;training;fatloss;weightloss;musclebuilding;fitness;fitnessmotivation;fitnesslife;fitnessjourney;fitfam;fitlife;fitspiration;weights;weighttraining;benchpress;powerlifting;strength;strong;strongisnotasize;girlswholift;strongnotskinny;gym;gymlife;learntolift;learntoliftbootcamp;learntolifttraining,The new block of bootcamps got off to a great start yesterday ▶️💪 All the big 1 rep max PBs were cashed in last week 💰🔥 so we were back putting in the hard work with plenty of volume yesterday ☝️🔊 The hard work now builds the big results achieved later 🏗️🙌,1441672392612341,55.8551881117,-4.2748044128,0,UNK,UNK,15.23,UNK,-1,UNK,
137,BkVBJByFcz1,2018-06-22 13-29-45,fitness;fit;fitnessmotivation;fitnesslifestyle;hardwork;back;instafitfam;instagram;instafitness;thefitnessnet;fitnessphysique;fitnesslover;gymislife;fitstagram;instamuscle;shoulderworkout;shoulders;shoulderday;delts;courage;nevergiveup;innerbeastclothing,I am suffering from flu from last 2 days but this is not the excuse I got fatigued in this set very early but again As I believe that If u have courage then dont back off This machine shoulder press is the best unilateral exercise for ones suffering from muscle imbalance Keep your back straight dont forget to breathe,1017380593,22.3304806,73.2350082,0,UNK,UNK,23.04,UNK,-1,UNK,
138,BzYOcNQlKu9,2019-07-01 15-10-30,babyonboard,Så nu er det officielt Og jeg har valgt at gøre det ret tidligt For livet har lært mig at børn de kan dø Og jeg gider ikke vente med at dele min glæde til efter uge 12 når jeg ved at børn også kan dø når de er født Jeg vælger at være lykkelig og glad lige nu og at i og dem omkring mig skal være en del af den glæde❤️ Idag har vi set liv og hørt hjerteslag 💞 Peanut please bliv ved med at gro derinde Du er så ønsket 😘,UNK,UNK,UNK,0,UNK,UNK,4.5,UNK,-1,UNK,
139,BpLqBeTge6Q,2018-10-21 04-45-17,sunshinecoast;sunnycoast;bodybuilding;strong;powerlifting;shredding;bulking;deadlift;bench;squat;legday;backday;chestday;abs;shredded;quads;ifbb;chest;workout;fitspo;fitness;motivation;shred;benchpress;fitfam;followforfollow,Why not finish off a heavy high rep leg session with some heavy rack pulls with a already sore back 😑😑 smart on Jake,335125698,-26.72795,153.119,0,UNK,UNK,17.56,UNK,-1,UNK,
140,BjmapJ7Ao4X,2018-06-04 11-00-20,Repost,💯 recommendation for this lady and her team that made me look so amazing with her beautiful makeup I made the cut Repost with repost ・・・ 2 weekends ago we supported the wffaustralia athletes It was such a pleasure to see these guys in their element and looking fab Wanted to showcase the guys a little bit more this time 💪🏼 lyons,UNK,UNK,UNK,0,UNK,UNK,60.0,UNK,-1,UNK,
141,Bsiszpsgdkq,2019-01-12 17-07-29,bootcamp;glasgow;personaltraining;personaltrainer;training;fatloss;musclebuilding;fitness;fitnessmotivation;fitnesslife;fitnessjourney;fitfam;fitlife;fitspiration;weights;weighttraining;squats;legworkout;legday;strength;strong;strongisnotasize;girlswholift;strongnotskinny;gym;gymlife;learntolift;learntoliftbootcamp;learntolifttraining,Spicy wee leg circuit for a Saturday morning 🌶️ Week 1 of Bootcamp is in the books 📚 Theres quite a few sore bodies out there but everyone is off to a very strong start 💪🙌,552725738270459,55.8551675501,-4.2746841999,0,UNK,UNK,23.53,UNK,-1,UNK,
142,BnbTByIhieG,2018-09-07 13-53-31,bootcamp;glasgow;personaltraining;personaltrainer;training;fatloss;weightloss;musclebuilding;fitness;fitnessmotivation;fitnesslife;fitnessjourney;fitfam;fitlife;fitspiration;weights;weighttraining;deadlift;trapbardeadlifts;strength;strong;strongisnotasize;girlswholift;strongnotskinny;gym;gymlife;learntolift;learntoliftbootcamp;learntolifttraining,Another tough but very effective workout last night 💪🙌 Things got a bit spicy 🌶️ again on the rep outs and the conditioning 🏃🏋️‍♀️🏃‍♀️🏋️💦,1441672392612341,55.8551881117,-4.2748044128,0,UNK,UNK,30.37,UNK,-1,UNK,
143,Bks9elMA_-u,2018-07-01 20-33-42,liftheavy;bodybuilding;eatclean;trainhard;flagnorfail,Back to heavy weights is the bomb ass digity 26kg DB’s Incline Dumbbell Chest Press Thanks for the spot Micko ✌🏽💪🏾 When I’m under the weights and I think I’m gunna eat shit that’s when my day starts and I am livin,UNK,UNK,UNK,0,UNK,UNK,33.18,UNK,-1,UNK,
144,BzJzANOhOWR,2019-06-26 00-37-03,,Great night for Mike Reed George Rincon and Team NoXcuse,UNK,UNK,UNK,0,UNK,UNK,119.43299999999999,UNK,-1,UNK,
145,Bvpn_aUF0TB,2019-03-30 23-11-00,crossfitlovers;crossfitters;crossfitopenteen;crossfitopen;crossfit,Looks cool in slowmo 🏋🏻‍♂️,UNK,UNK,UNK,0,UNK,UNK,24.4,UNK,-1,UNK,
146,BuuMoDpHVf-,2019-03-07 21-18-07,pilates;endurance;cardio;reformyourbody;sfpilates,Anatomy of a Jump Here’s rhoades and the rest of evan’s 7am Endurance class giving us some fabulous jumping form this morning,2206350406270948,37.79997,-122.44082,0,UNK,UNK,23.33,UNK,-1,UNK,
147,ByfzfKUHn2T,2019-06-09 17-23-17,fitfam;fit;strongwomen;fitnessjourney;nopainnogain;personaltrainer;burpees;peterboroughuk,One burpee a day keeps the doctor away 😂💪👍,800983196703045,52.57434,-0.24614,0,UNK,UNK,59.96,UNK,-1,UNK,
148,BsZ-eyyHz-y,2019-01-09 08-00-50,fitness;fit;fitnessmotivation;fitnesslifestyle;hardwork;back;instafitfam;instagram;instafitness;thefitnessnet;fitnessphysique;fitnesslover;gymislife;fitstagram;instamuscle;delts;reardelts;chestday;chest;nevergiveup;biceps;triceps;bicepworkout;tricepsworkout;physiqueapparel;aesthetics;eatcleantraindirty;train;with;intensity,Standing dumbell curls are a great variation to target your short headAnd as anatomy says that supinating your wrist creates greater contraction in your short headAlso the short head does not cross the shoulder jointso this a good technique to target your short headAnd dont forget to breathe also keep your elbows fix✌️fitnessfitfitnessmotivationfitnesslifestyle,UNK,UNK,UNK,0,UNK,UNK,43.46,UNK,-1,UNK,
149,BkhYrenBh_9,2018-06-27 08-41-23,bootcamp;glasgow;personaltraining;personaltrainer;training;fatloss;weightloss;musclebuilding;fitness;fitnessmotivation;fitfam;fitlife;instafit;instafitness;weights;weighttraining;squats;pausedsquats;strength;strong;strongisnotasize;girlswholift;powerbuilding;powerlifting;motivation;gym;gymlife;learntolift;learntoliftbootcamp;learntolifttraining,Paused Squats came into the mix last night as part of the transition from Box Squats 📦 back to normal Squats 🏋️‍♀️🏋️ 🎥 You can see some of the bootcampers executing them with excellent technique 👌and hitting some big weights 💪,1441672392612341,55.8551881117,-4.2748044128,0,UNK,UNK,19.8,UNK,-1,UNK,
150,BnlVUmzgLDY,2018-09-11 11-02-23,hiitworkout;peterborough;healthylifestyle;fitnessjourney;fitness;fitnessmotivation;boxing;nopainnogain,It never gets easier you just get stronger💪💪🥊🥊,227561342,52.5833,-0.25,0,UNK,UNK,19.28,UNK,-1,UNK,
151,BwwErdTnn-N,2019-04-27 07-47-43,ruccisgym;squats;powerliftingaustralia;powerlifting,I feel like cant not post my 200kg squat even tho the camera placements where not great At least thats a big milestone hit Big thank you for the spots guys it goes to show that ruccis gym is a community always willing to help,249703460,-31.86515,115.89625,0,UNK,UNK,6.93,UNK,-1,UNK,
152,BjM_2PGBEVe,2018-05-25 14-05-12,peterborough;bootcamp;healthylife;bestrong;behealthy;saturdayfun;sundayworkout;nevergiveup;personaltrainer;befitbycosta,Come where the sweat and fun come together 😂😂💪👍 join the Hardest boot camp in Embankment Peterborough every Saturday from 11 am and Sunday from 1030 Be strong be healthy be different💪💪💪,199761340749240,52.56911,-0.23903,0,UNK,UNK,31.0,UNK,-1,UNK,
153,BzqwbmsnTGm,2019-07-08 19-49-12,hipertrofia;musculação;treinodeforca;muscle;gym;setgigante;bodybuilder;hypertrophy;academia;crossfit;treinamentopersonalizado;phelipepersonal;personaltrainervip1;desistirnãoéopção,SÉRIE GIGANTE com ➡️ Envolve a execução sem intervalos de vários exercícios 💪🏾❌💪🏾 É formado de 4 a 10 exercícios distintos podendo estimular um único ou vários grupamentos musculares ➕ Objetivo ⬆️ VTT ⬆️ TEMPO SOB TENSÃO ⬆️ ESTRESSE METABÓLICO ⬆️ RESISTÊNCIA ⬆️ RESPOSTA HIPERTRÓFICAS,5822178,-8.2748508435,-35.9773414855,0,UNK,UNK,39.12,UNK,-1,UNK,
154,BoQ6OxUB7um,2018-09-28 09-19-04,bootcamp;glasgow;personaltraining;personaltrainer;training;fatloss;weightloss;musclebuilding;fitness;fitnessmotivation;fitnesslife;fitnessjourney;fitfam;fitlife;fitspiration;weights;weighttraining;trapbardeadlift;deadlift;strength;strong;strongisnotasize;girlswholift;strongnotskinny;gym;gymlife;learntolift;learntoliftbootcamp;learntolifttraining,It was a big night at Bootcamp last night 🌃 the time had come to cash 💰 in some big 1 rep max PBs on the Trap Bar Deadlifts 🏋️‍♀️💪 The girls in the front corner group did not disappoint 🔹 110 kg a 30 kg PB 🔸 jnr 105 kg a 20 kg PB 🔹 x 115 kg a 25 kg PB 🔸 115 kg a 20 kg PB Outstanding progress big well done guys 📈🔥🙌,552725738270459,55.8551675501,-4.2746841999,0,UNK,UNK,11.37,UNK,-1,UNK,
155,Br7DZZkHXnZ,2018-12-28 07-35-57,fitness;fit;fitnessmotivation;fitnesslifestyle;hardwork;back;instafitfam;instagram;instafitness;thefitnessnet;fitnessphysique;fitnesslover;gymislife;fitstagram;instamuscle;delts;reardelts;chestday;chest;nevergiveup;biceps;triceps;bicepworkout;tricepsworkout;physiqueapparel;aesthetics;eatcleantraindirty;train;with;intensity,As I am doing a 2 weeks strength trainingI decided to go heavy on the bicep curls😁Tried to go really heavy the target was to get 4 to 6 repsActually I included bench press shoulder presssquats deadlifts but incorporating things like this can be fun sometimes✌️✌️fitnessfitfitnessmotivationfitnesslifestyle,UNK,UNK,UNK,0,UNK,UNK,16.74,UNK,-1,UNK,
156,Bnc_4mDlP7y,2018-09-08 05-26-38,fitness;fit;fitnessmotivation;fitnesslifestyle;hardwork;back;instafitfam;instagram;instafitness;thefitnessnet;fitnessphysique;fitnesslover;gymislife;fitstagram;instamuscle;delts;reardelts;chestday;chest;nevergiveup;biceps;bicepworkout;physiqueapparel,Now this are bit different kind of preacher curls This are not one of the newest variations But this are very useful Now here in the flexion movement I am flexing or turning my wrist outwards Due to this the tension will move towards the short head of bicep brachii And the purpose of this variation is to increase the width of the bicepAlso dont forget to breathe provide intensity✌️,UNK,UNK,UNK,0,UNK,UNK,27.33,UNK,-1,UNK,
157,BR_Aw6ojj92,2017-03-23 14-48-47,sprinter;fitness;hardwork;instagood;weights;nevergiveup,,UNK,UNK,UNK,0,UNK,UNK,28.288,UNK,-1,UNK,
158,BzN7K6VBpFw,2019-06-27 15-06-02,Southpawboxing;Boxing;Boxingyyc;Calgary;YYC;Cardio;FitFam;Fitness;FitnessMotivation;GetFit;GetStrong;GirlsWhoLift;empoweringwomen;Gym;NoPainNoGain;PersonalTrainer;Physiquefreak;Sweat;Weightlifting;Workout;Movenourishbelieve;loveyourself;strengthandhonor;instavid;Fitnessfriday,Happy Thursday fr these empowering ladies 💗💗,1023784952,50.9608403594,-113.9662285112,0,UNK,UNK,21.346999999999998,UNK,-1,UNK,
159,BjRZyHFFBEj,2018-05-27 07-09-35,fitness;fit;fitnessmotivation;fitnesslifestyle;hardwork;back;instafitfam;instagram;instafitness;thefitnessnet;fitnessphysique;fitnesslover;gymislife;fitstagram;deadlift;instamuscle,When your gym is closedbut u cant stop working out 🔥,UNK,UNK,UNK,0,UNK,UNK,60.0,UNK,-1,UNK,
160,B0JPpDOggTu,2019-07-20 16-02-12,running;powerliftertriesrunning;powerlifter;powerliftingwomen;cyclisttriesrunning;haventruninforever;ocrtraining;almostforgotihadarace;ocr;cyclist;running;imnotusedtothisanymore;4miles;gottagettoatleast10mi;cardio;workout;spoonie;spoonieathlete;bringontheinflammation,I am not attractive after running lol Video pretty much says it all Also I forgot how sticky trail shoes are like I ran primarily on pavement today usually run trails and I felt like I was running through fly paper or something I should probably invest in some street shoes for when I run on pavement,UNK,UNK,UNK,0,UNK,UNK,37.297,UNK,-1,UNK,
161,BlH9GtVgvwF,2018-07-12 08-07-18,health;fitness;fitspo;bodybuilding;gym;shredded;abs;motivation;bulking;strong;squat;fitfam,The elusive 300kg deadlift that’s taken me 2 years to get on film annnnd first heavy deadlift I’ve done in months 👌👌,1024215362,-12.37481,130.88276,0,UNK,UNK,31.86,UNK,-1,UNK,
